,0,1,2,3
244,9h7d,5,16,0
245,14c7h,5,21,1
246,10h5h,2,35,0
247,13c10c,8,43,1
248,7c5d,4,12,1
249,5s4c,4,19,0
250,11c3h,1,14,1
251,9c3d,0,12,0
252,11s9s,8,40,0
253,12c10d,6,22,1
254,13s3c,3,16,0
255,14s6c,5,20,1
256,12s12d,14,74,1
257,13h2h,5,35,0
258,10s9d,6,29,1
259,4d2c,2,6,0
